training_id,employee_id,training_name,completion_date,score,certification_obtained
T001,EMP001,AWS Cloud Architecture,2024-11-15,92,Yes
T002,EMP002,Digital Marketing,2024-10-22,78,Yes
T003,EMP003,Leadership Training,2024-09-05,95,Yes
T004,EMP004,Sales Techniques,2024-12-10,81,Yes
T005,EMP005,Management Skills,2024-08-18,88,Yes
T006,EMP006,Python Advanced,2024-11-30,94,Yes
T007,EMP007,Financial Modeling,2024-10-05,85,Yes
T008,EMP008,Marketing Strategy,2024-09-25,91,Yes
T009,EMP009,ITIL Foundation,2024-12-15,76,Yes
T010,EMP010,System Design,2024-11-08,96,Yes
T011,EMP011,Research Methods,2024-10-30,89,Yes
T012,EMP012,Executive Leadership,2024-07-20,98,Yes
T013,EMP013,HR Compliance,2024-09-12,84,Yes
T014,EMP014,Advanced Excel,2024-08-25,79,Yes
T015,EMP015,Financial Strategy,2024-11-12,93,Yes
T016,EMP016,JavaScript Basics,2024-12-05,72,No
T017,EMP017,Lab Safety,2024-10-18,88,Yes
T018,EMP018,Research Leadership,2024-09-30,94,Yes
T019,EMP019,Social Media,2024-11-25,77,Yes
T020,EMP020,Network Security,2024-12-20,83,Yes
